"","runner","gender","age","course","vp","time"
"259",79,1,37,63,1,163.15
"260",79,1,36,64,0,170.55
"261",79,1,34,9,0,171.05
"262",79,1,34.8,39,0,177.4
"264",80,0,31.2,35,0,151.35
"265",80,0,34.2,90,1,140.7333333
"266",80,0,30,7,0,142.9833333
"267",80,0,31,26,0,143.3166667
"268",80,0,31,28,0,147.75
"269",80,0,34,68,0,154.9
"270",81,0,33,11,0,143.8
"271",82,1,30,6,0,160.3333333
"272",82,1,32,63,0,169.5666667
"273",82,1,30.5,39,0,176.5833333
"274",83,1,40,1,0,174.1333333
"275",83,1,41,26,0,164.4166667
"276",83,1,41,39,0,177.1
"277",84,1,34,1,0,146.6666667
"278",85,1,30,1,0,144.9166667
"279",85,1,34,76,0,148.45
"280",85,1,31,11,0,153.3166667
"281",86,1,32,11,0,164.4333333
"282",87,1,33,40,0,157.5
"283",87,1,34,41,1,150.9
"284",87,1,35,68,1,151.2
"285",87,1,32.6666666666667,39,0,164.9666667
"286",88,1,30,11,0,158.8833333
"287",89,1,43,5,0,162.5833333
"288",89,1,43,7,0,164.9833333
"289",89,1,45,54,0,169.45
"290",90,1,35,12,0,162.85
"291",90,1,35,14,0,164.9666667
"292",90,1,36,37,0,174.1666667
"293",90,1,38,74,0,170.75
"294",90,1,39,92,0,172.85
"295",91,0,32,3,0,141.15
"296",91,0,33,26,0,139.1333333
"297",92,0,45,40,0,145.25
"298",92,0,44,20,0,154.0333333
"299",92,0,46,69,0,149.2666667
"300",92,0,43,7,0,143.2666667
"301",92,0,47,76,0,150.9666667
"302",93,1,23,11,0,164.0333333
"303",94,0,31,1,0,150.25
"304",94,0,35.75,80,0,147.1833333
"305",94,0,33,33,0,141.4833333
"306",94,0,34,47,0,141.7666667
"307",94,0,36,77,1,138.5
"308",95,0,28,26,0,139.7833333
"310",96,1,30.5,3,0,166.6833333
"311",96,1,33,42,1,159.35
"313",96,1,34.5,78,1,163.5166667
"314",96,1,31,26,0,164.3166667
"315",96,1,34.5,82,1,165.55
"316",97,0,29.3333333333333,30,0,146.1666667
"317",97,0,28,1,0,140.0666667
"318",97,0,31,58,0,161.95
"319",97,0,31,41,0,138.0166667
"320",98,0,26,3,0,138.1
"321",98,0,27,23,0,141.1166667
"323",98,0,27,30,0,155.0833333
"324",99,0,30,20,0,159.2333333
"325",99,0,29,2,0,142.6
"326",100,1,40,11,0,146.95
"327",100,1,42,50,0,152.15
"328",101,1,37,76,0,163.6666667
"329",101,1,35,42,0,158.55
"330",101,1,33,6,0,160.1666667
"331",101,1,33,9,0,164.4833333
"332",101,1,36,66,0,154.4
"333",101,1,34,39,0,170.3833333
"334",102,1,29,1,0,170.1
"335",102,1,30,2,0,162.3166667
"336",102,1,32,41,0,163.0166667
"337",102,1,29,6,0,168.5
"338",102,1,30.5,39,0,192.6
"339",103,0,30,31,0,139.2333333
"341",104,0,28,40,0,151.0666667
"342",104,0,27.25,30,0,142.9833333
"343",104,0,26,1,0,140.5833333
"344",104,0,26,6,0,137.4333333
"345",104,0,29,41,0,133.75
"346",105,1,25,26,0,159.9666667
"347",106,1,32,79,1,161.3166667
"348",106,1,29,25,0,154.9166667
"349",107,0,33,82,1,138.7333333
"350",107,0,29,1,0,143.35
"351",107,0,32,73,0,140.65
"352",108,0,20,22,0,143.4666667
"353",108,0,23,85,1,132.1166667
"354",109,1,24,6,0,162.4666667
"355",109,1,25,39,0,176.85
"356",110,0,30.2,5,0,141.55
"357",110,0,31.2,30,0,142.7833333
"358",110,0,30,7,0,134.7166667
"359",110,0,30,11,0,135.2666667
"360",110,0,31,31,0,137.2333333
"361",110,0,33,41,0,133.6833333
"362",110,0,34,85,0,138.3333333
"363",111,0,31,2,0,141.1666667
"364",111,0,34,59,0,146.3333333
"365",112,0,28,6,0,141.0333333
"366",113,0,33,20,0,142.0333333
"367",113,0,34,40,0,137.6666667
"368",114,1,34,2,0,161.5333333
"369",114,1,35,39,0,162.6833333
"371",115,1,20,17,0,164.9666667
"372",116,0,28,34,0,139.6
"373",117,0,30,26,0,141.5166667
"374",117,0,32,58,1,147.9
