"","runner","gender","age","course","vp","time"
"363",124,0,31,2,0,141.1666667
"364",124,0,34,62,0,146.3333333
"365",125,0,28,6,0,141.0333333
"366",126,0,33,20,0,142.0333333
"367",126,0,34,40,0,137.6666667
"368",127,1,34,2,0,161.5333333
"369",127,1,35,39,0,162.6833333
"371",128,1,20,17,0,164.9666667
"372",129,0,28,34,0,139.6
"373",130,0,30,26,0,141.5166667
"374",130,0,32,61,1,147.9
"379",132,0,31,9,0,130.6
"380",132,0,32,28,0,133.8666667
"381",132,0,33,48,0,132.2666667
"382",132,0,34,69,0,137.05
"383",133,0,37,28,0,140.6666667
"384",134,0,29.3333333333333,30,0,142.5
"385",134,0,28,9,0,137.2333333
"386",134,0,30,21,0,132.4666667
"387",134,0,31,61,0,148.6333333
"388",135,0,34,86,1,136.05
"389",135,0,34,94,1,152.05
"390",135,0,31,26,0,135.9
"391",136,0,28,22,0,139.9333333
"392",137,1,23,7,0,161.5333333
"394",137,1,24,39,0,187.6833333
"395",138,0,42,1,0,138.7333333
"396",139,0,32,1,0,131.3333333
"397",139,0,36,80,0,136.3166667
"398",140,0,24,26,0,135.95
"399",141,0,31,9,0,135.5666667
"400",141,0,33,52,0,133.25
"401",142,0,38,2,0,139.6166667
"402",143,0,29,22,0,140.4166667
"403",144,0,23,19,0,146.2833333
"404",144,0,24,21,0,140.9666667
"405",144,0,25,41,0,136.2833333
"406",144,0,25,59,0,146.4
"407",145,0,36,17,0,139.95
"412",147,0,34,7,0,129.1166667
"414",149,0,36,2,0,135.15
"415",150,1,31,1,0,145.65
"416",150,1,33,40,0,145.1
"417",150,1,34,61,0,159.9
"418",150,1,35,80,0,147
"419",150,1,35,71,0,147.85
"420",150,1,36,89,0,146.7666667
"421",150,1,32.3333333333333,39,0,148.9
"422",151,1,32,40,0,152.4
"423",151,1,30,3,0,149.2166667
"424",151,1,31,31,0,153.0666667
"425",151,1,32,51,0,151.35
"426",152,0,28,3,0,129.4166667
"427",152,0,32,82,1,129.1833333
"428",152,0,30,56,0,129.1833333
"429",152,0,29,22,0,131.4333333
"430",153,0,29,82,0,131.9
"431",153,0,26,22,0,133.9333333
"432",153,0,27,42,0,135.3166667
"433",154,0,27,32,0,128.2166667
"434",154,0,28,40,0,134.4333333
"435",155,0,27,11,0,139.35
"436",155,0,30,71,1,140.0166667
"437",155,0,31,89,1,136.6333333
"438",155,0,32,91,1,136.5166667
"439",155,0,30,73,1,137.15
"441",156,0,27.8571428571429,32,0,131.6333333
"442",156,0,29.8571428571429,72,0,135.25
"443",156,0,26,7,0,129.6666667
"444",156,0,27,6,0,131.2833333
"445",156,0,28,46,0,132.0833333
"446",156,0,28,17,0,131.2666667
"447",156,0,28,36,0,128.85
"448",156,0,29,57,0,131.8833333
"449",156,0,31,95,0,132.3833333
"450",157,0,37,20,0,154.2833333
"451",157,0,36,3,0,142.0833333
"452",157,0,39,77,0,165.5166667
"453",158,1,40,40,0,156.4666667
"454",158,1,41,61,0,168.95
"455",158,1,42,80,0,160.75
"456",158,1,40,42,0,157.1333333
"457",158,1,38,6,0,154.8166667
"458",158,1,42.1666666666667,87,0,155.5
"459",158,1,40,31,0,158.7666667
"460",158,1,39.1666666666667,39,0,164.3166667
"461",159,0,21,26,0,135.3833333
"462",160,0,27,30,0,142.3
"463",160,0,27,22,0,143.9666667
"464",161,0,23,21,0,143.8
"465",161,0,25,62,1,138.1833333
"466",162,1,37,40,1,141.8666667
"467",162,1,38,61,1,167.2333333
"468",162,1,39,80,1,144.2166667
"469",162,1,36,22,0,143.4666667
"470",162,1,38,51,1,149.6
"471",163,0,31,6,0,142.6666667
"472",164,0,27,9,0,133.6
"473",165,0,27,16,0,131.75
"475",166,0,28,45,0,132.1
"476",166,0,29,6,0,130.6
"477",166,0,30,2,0,132.1833333
"478",166,0,30,25,0,131.4333333
"479",166,0,30,17,0,131.65
"480",166,0,31,21,0,131.8666667
"481",166,0,31,48,0,131.8666667
"482",166,0,31,36,0,130.35
"483",166,0,32,66,0,130.1
"484",166,0,32,67,0,129.5333333
"485",166,0,32,69,0,132.7833333
"487",166,0,33,85,0,151.2833333
"488",166,0,33,88,0,131.7833333
"489",166,0,33,77,0,131.9666667
"490",166,0,34,81,1,133.6
"491",167,0,27,6,0,136.4833333
"492",168,1,32,86,0,163.95
"493",168,1,28,17,0,160.7833333
"494",168,1,29,39,0,169.95
"496",170,0,29.75,3,0,131.5166667
"497",170,0,30.75,30,0,140.1666667
"498",170,0,30,22,0,136.6166667
"500",170,0,34,61,1,143.6166667
"501",170,0,35,80,1,131.85
"502",170,0,32.75,63,1,132.5833333
"503",171,1,32,4,0,162.8
"504",171,1,33,39,0,163.7666667
"507",173,1,30,11,0,163.4666667
"508",173,1,31,31,0,165.3666667
"509",174,1,26,22,0,160.9333333
"510",174,1,26,39,0,164.9333333
"511",175,0,36,26,0,143.3333333
"512",176,0,26,6,0,137.1
"513",176,0,28,40,0,143.4333333
"514",176,0,29,41,0,139.1
"515",176,0,30,62,0,141.0833333
"516",176,0,30,85,1,137.4
"517",176,0,30,97,1,140.1666667
"518",177,0,26,21,0,134.15
"519",178,0,27,21,0,137.85
"520",178,0,28,41,0,136.7
"521",179,0,35,35,0,133.7
"522",179,0,34,16,0,131.5166667
"523",180,0,38,6,0,136.8
"524",180,0,40,40,0,146
"525",180,0,40,41,1,137.5666667
"528",181,0,28,2,0,141.5166667
"529",181,0,29,21,0,141.0833333
"530",181,0,30,41,0,143.2
"531",181,0,32,81,0,144.85
"532",182,1,34,6,0,159.5666667
"533",183,0,27,7,0,132.8666667
"540",187,1,26,26,0,162.5333333
"541",188,1,30,40,0,156.1833333
"542",188,1,32,62,1,156.5166667
"543",188,1,30,25,0,157.4333333
"544",188,1,30,31,0,157.1833333
"545",188,1,29.75,39,0,157.9333333
